"imdbid","title","budget","gross","release_date","directors","producers","actors"
,"Life Without Principle (film)",,"2.5E7",1952-12-27,"Johnnie To","Johnnie To","Denise Ho, Richie Jen, Sean Lau"
,"S Storm",,"2.09E8",,"David Lam","Raymond Wong Pak-ming",""
,"The Message (2009 film)","7000000.0","2.052E8",,"Chen Kuo-fu, Gao Qunshu","Chen Kuo-fu, Feng Xiaogang","Alec Su, Huang Xiaoming, Li Bingbing, Zhang Hanyu, Zhou Xun"
,"Mission Milano",,"1.984E8",,"Wong Jing","Wong Jing","Huang Xiaoming, Shen Teng, Wong Cho-lam"
,"Soul Mate (2016 film)","8000000.0","1.669E8",,"Derek Tsang","Peter Ho-sun Chan","Ma Sichun, Zhou Dongyu"
,"Cook Up a Storm","2.5E8","1.219E8",,"Raymond Yip","Manfred Wong","Anthony Wong, Bai Bing, Ge You, Jung Yong-hwa, Nicholas Tse, Tiffany Tang"
,"Three (2016 film)","4.0E7","1.004E8",,"Johnnie To","Johnnie To, Yau Nai-hoi","Louis Koo, Wallace Chung, Zhao Wei"
,"Paths of the Soul",,"1.001E8",,"Zhang Yang","Zhang Yang",""
,"Merry Christmas, Mr. Lawrence",,"9.9E8",,"Nagisa Ōshima","Jeremy Thomas","Jack Thompson, Ryuichi Sakamoto, Takeshi Kitano, Tom Conti"
,"Brotherhood of Blades","3.0E7","9.337E7",,"Lu Yang","Terence Chang","Chang Chen, Wang Qianyuan"
"0071923","Prophecies of Nostradamus","6.5E8","8.83E8",,"Toshio Masuda","Tomoyuki Tanaka",""
,"Blind Massage",,"7680000.0",,"Lou Ye","Lou Ye","Qin Hao"
,"The Eleventh Chapter",,"7.3971E7",,"Chen Jianbin","Jiang Qinqin","Chen Jianbin, Dong Chengpeng, Dou Jingtong, Jessie Li, Zhou Xun"
,"Painted Skin: The Resurrection","1.5E8","7.26E8",,"Wuershan","Chen Kuo-fu, Huayi Brothers Media Corporation, 华谊兄弟传媒集团","Chen Kun, Fei Xiang, Yang Mi, Zhao Wei, Zhou Xun"
,"Love After Love (2020 film)",,"6.4E7",,"Ann Hui","Ann Hui","Eddie Peng, Fan Wei, Faye Yu, Ma Sichun"
,"Ghost Theater",,"5.72E7",,"Hideo Nakata","Yasushi Akimoto","Riho Takada, Rika Adachi"
,"Bleach (2018 film)",,"4.930526E8",2018-09-14,"Shinsuke Sato","Kazutoshi Wadakura",""
,"Bleach (2018 film)",,"4.930526E8",2018-07-28,"Shinsuke Sato","Kazutoshi Wadakura",""
,"Bleach (2018 film)",,"4.930526E8",2018-07-20,"Shinsuke Sato","Kazutoshi Wadakura",""
,"Pom Poko",,"4.47E9",,"Isao Takahata","Toshio Suzuki",""
,"Big Joys, Small Sorrows",,"3.95E8",,"Keisuke Kinoshita","Shochiku Co., Ltd.","Reiko Ohara"
,"When Marnie Was There","1.05E7","3.85E9",,"Hiromasa Yonebayashi","Yoshiaki Nishimura","Kasumi Arimura, Sara Takatsuki"
,"When Marnie Was There","1.15E9","3.85E9",,"Hiromasa Yonebayashi","Yoshiaki Nishimura","Kasumi Arimura, Sara Takatsuki"
,"Amalfi: Rewards of the Goddess",,"3.65E9",,"Hiroshi Nishitani","Kazutoshi Wadakura","Erika Toda, Koichi Sato, Rocco Antonio Papaleo, Yūji Oda, Yūki Amami"
,"Back to 1942","2.1E8","3.64E8",,"Feng Xiaogang","Albert Yeung, Han Sanping, Peter Lam","Adrien Brody, Chen Daoming, Fan Wei, Li Xuejian, Xu Fan, Zhang Guoli, Zhang Hanyu"
"0073373","Terror of Mechagodzilla","1200000.0","3.3E8",,"Ishirō Honda","Henry G. Saperstein, Tomoyuki Tanaka","Akihiko Hirata, Katsuhiko Sasaki, Katsumasa Uchida"
"0060464","Ebirah, Horror of the Deep",,"3.3E8",,"Jun Fukuda","Tomoyuki Tanaka","Akira Takarada, Kumi Mizuno"
"0067148","Godzilla vs. Hedorah",,"3.0E8",,"Yoshimitsu Banno","Tomoyuki Tanaka",""
,"The Human Condition (film series)",,"3.0404E8",,"Masaki Kobayashi","Masaki Kobayashi","Michiyo Aratama, Tatsuya Nakadai"
,"A Thousand and One Nights (1969 film)",,"2.9E8",1969-06-14,"Eiichi Yamamoto","Osamu Tezuka","Yukio Aoshima"
,"The Kiyosu Conference",,"2.87E9",,"Kōki Mitani","Kazutoshi Wadakura","Fumiyo Kohinata, Koichi Sato, Yo Oizumi"
"0064373","All Monsters Attack",,"2.6E8",,"Ishirō Honda","Tomoyuki Tanaka","Kenji Sahara"
"0061856","Son of Godzilla",,"2.6E8",,"Jun Fukuda","Tomoyuki Tanaka","Akihiko Hirata, Akira Kubo, Bibari Maeda, Tadao Takashima"
,"In This Corner of the World (film)","2.5E8","2.5E9",,"Sunao Katabuchi","Masao Maruyama","Daisuke Ono, Mayumi Shintani, Megumi Han, Non, Shigeru Ushiyama, Yoshimasa Hosoya"
,"Princess from the Moon","2.0E9","2.47E9",1987-09-14,"Kon Ichikawa","Tomoyuki Tanaka","Ayako Wakao, Kiichi Nakai, Toshiro Mifune"
,"Princess from the Moon","2.0E9","2.47E9",1987-09-26,"Kon Ichikawa","Tomoyuki Tanaka","Ayako Wakao, Kiichi Nakai, Toshiro Mifune"
,"The Human Condition (film series)",,"2.3479E8",,"Masaki Kobayashi","Masaki Kobayashi","Michiyo Aratama, Tatsuya Nakadai"
,"Eternal Moment","1.0E7","2.0E8",,"Zhang Yibai","Zhang Yibai","Chapman To, Li Yapeng, Xu Jinglei"
,"Patlabor 2: The Movie",,"1.8E8",,"Mamoru Oshii","Mitsuhisa Ishikawa","Naoto Takenaka, Ryūsuke Ōbayashi, Yoshiko Sakakibara"
,"Latitude Zero (film)","3.6E8","1.7E8",,"Ishirō Honda","Tomoyuki Tanaka","Akira Takarada, Cesar Romero, Joseph Cotten, Linda Haynes, Patricia Medina, Richard Jaeckel"
,"Tokyo: The Last Megalopolis","8000000.0","1.79E9",,"Akio Jissoji","Akio Jissoji","Junichi Ishida, Mieko Harada, Shintaro Katsu"
,"Tokyo: The Last Megalopolis","1.0E9","1.79E9",,"Akio Jissoji","Akio Jissoji","Junichi Ishida, Mieko Harada, Shintaro Katsu"
