"imdbid","title","budget","gross","release_date","directors","producers","actors"
,"Don Juan DeMarco","2.5E7","6.9E7",,"Jeremy Leven","Francis Ford Coppola, Frederic S. Fuchs","Bob Dishy, Faye Dunaway, Géraldine Pailhas, Johnny Depp, Marlon Brando, Rachel Ticotin"
,"Curious George (film)","5.0E7","6.99E7",,"Matthew O'Callaghan","David Kirschner, Ron Howard","David Cross, Drew Barrymore, Eugene Levy, The Lady Olivier, Will Ferrell"
,"Splash (film)","1.1E7","6.98E7",,"Ron Howard","Brian Grazer","Daryl Hannah, Eugene Levy, John Candy, Tom Hanks"
,"Private Benjamin (1980 film)","9200000.0","6.98E7",,"Howard Zieff","Charles Shyer, Goldie Hawn, Harvey Miller, Nancy Meyers",""
,"The Twilight Saga: Eclipse","6.8E7","6.984E8",,"David Slade","Wyck Godfrey","Ashley Greene, Billy Burke, Bryce Dallas Howard, Dakota Fanning, Elizabeth Reaser, Kristen Stewart, Peter Facinelli, Taylor Lautner"
,"Curious George (franchise)","5.0E7","6.983E7",,"Matthew O'Callaghan","David Kirschner, Ron Howard","Frank Welker, Jeff Bennett"
,"The Dilemma","7.0E7","6.97E7",,"Ron Howard","Brian Grazer, Ron Howard, Vince Vaughn","Channing Tatum, Jennifer Connelly, Kevin James, Queen Latifah, Vince Vaughn, Winona Ryder"
,"The Northman","70.0","6.96E7",,"Robert Eggers","Alexander Skarsgård, Arnon Milchan, Lars Knudsen, Mark Huffam, Robert Eggers","Alexander Skarsgård, Anya Taylor-Joy, Björk, Claes Bang, Ethan Hawke, Gustav Lindh, Nicole Kidman"
,"Because I Said So (film)","3.9E7","6.95E7",,"Michael Lehmann","Paul Brooks","Diane Keaton, Gabriel Macht, Lauren Graham, Mandy Moore, Piper Perabo, Stephen Collins"
,"Mr. Magorium's Wonder Emporium","6.5E7","6.95E7",,"Zach Helm","Richard N. Gladstein","Dustin Hoffman, Jason Bateman, Natalie Portman"
,"XXX (film series)","2.15E8","6.94E8",,"Rob Cohen","Joe Roth, Neal H. Moritz, Vin Diesel",""
,"A Very Long Engagement","51.2","6.94E7",,"Jean-Pierre Jeunet","Jean-Pierre Jeunet","Audrey Tautou, Chantal Neuwirth, Dominique Pinon, Gaspard Ulliel, Jodie Foster, Marion Cotillard, Ticky Holgado"
,"13 Hours: The Secret Soldiers of Benghazi","5.0E7","6.94E7",,"Michael Bay","Erwin Stoff, Michael Bay","James Badge Dale, John Krasinski, Max Martini"
,"Mission: Impossible – Ghost Protocol","1.45E8","6.947E8",,"Brad Bird","Bryan Burk, J. J. Abrams, Tom Cruise","Paula Patton, Tom Cruise"
,"The Hunger Games (film)","7.8E7","6.944E8",,"Gary Ross","Nina Jacobson","Donald Sutherland, Elizabeth Banks, Jennifer Lawrence, Josh Hutcherson, Lenny Kravitz, Liam Hemsworth, Stanley Tucci, Woody Harrelson"
,"Babe: Pig in the City","9.0E7","6.91E7",,"George Miller","Bill Miller, Doug Mitchell, George Miller","James Cromwell"
,"The Age of Innocence (1993 film)","3.4E7","6.8E7",,"Martin Scorsese","Barbara De Fina","Daniel Day-Lewis, Michelle Pfeiffer, Winona Ryder"
,"Land of the Lost (film)","1.0E8","6.88E7",,"Brad Silberling","Sid and Marty Krofft","Anna Friel, Danny McBride, Jorma Taccone, Will Ferrell"
"0253867","The Sweetest Thing","4.3E7","6.87E7",,"Roger Kumble","Cathy Konrad","Cameron Diaz, Christina Applegate, Jason Bateman, Thomas Jane"
,"The Nut Job 2: Nutty by Nature","4.0E7","6.87E7",,"Cal Brunker","Bob Barlen","Bobby Cannavale, Bobby Moynihan, Gabriel Iglesias, Isabela Merced, Katherine Heigl, Maya Rudolph"
,"Letters from Iwo Jima","1.9E7","6.87E7",0000-12-31T00:00:00Z,"Clint Eastwood","Clint Eastwood, Steven Spielberg","Kazunari Ninomiya, Ken Watanabe, Shidō Nakamura II, Tsuyoshi Ihara"
,"Yentl (film)","1.2E7","6.87E7",,"Barbra Streisand","Barbra Streisand","Amy Irving, Barbra Streisand, Mandy Patinkin"
,"Capernaum (film)","4000000.0","6.86E7",2012-06-01,"Nadine Labaki","Khaled Mouzanar","Nadine Labaki, Zain Al Rafeea"
,"Looney Tunes: Back in Action","8.0E7","6.85E7",,"Joe Dante","Paula Weinstein","Bill Goldberg, Brendan Fraser, Heather Locklear, Jenna Elfman, Joe Alaskey, Steve Martin, Timothy Dalton"
,"Thirteen Ghosts","4.2E7","6.85E7",2001-10-26,"Steve Beck","Joel Silver, Robert Zemeckis","Embeth Davidtz, F. Murray Abraham, Rah Digga, Shannon Elizabeth"
,"The X-Files: I Want to Believe","3.0E7","6.84E7",,"Chris Carter","Chris Carter, Frank Spotnitz","Billy Connolly, David Duchovny, Xzibit"
"0480242","Dan in Real Life","2.5E7","6.84E7",,"Peter Hedges","Jonathan Shestack","Dane Cook, Dianne Wiest, Emily Blunt, John Mahoney, Juliette Binoche, Steve Carell"
,"A Beautiful Day in the Neighborhood","2.5E7","6.84E7",,"Marielle Heller","Marc Turtletaub","Chris Cooper, Matthew Rhys, Susan Kelechi Watson, Tom Hanks"
,"The Watch (2012 film)","6.8E7","6.83E7",,"Akiva Schaffer","Shawn Levy","Ben Stiller, Jonah Hill, Richard Ayoade, Rosemarie DeWitt, Vince Vaughn"
,"Moonrise Kingdom","1.6E7","6.83E7",,"Wes Anderson","Jeremy Dawson, Scott Rudin, Steven M. Rales, Wes Anderson","Bill Murray, Bruce Willis, Edward Norton, Frances McDormand, Tilda Swinton"
,"Skyline (2010 film)","10.0","6.83E7",,"Greg and Colin Strause","Liam O'Donnell","Brittany Daniel, Scottie Thompson"
,"Practical Magic","7.5E7","6.83E7",,"Griffin Dunne","Denise Di Novi","Aidan Quinn, Dianne Wiest, Nicole Kidman, Sandra Bullock, Stockard Channing"
,"Saw VI","1.1E7","6.82E7",,"Kevin Greutert","Gregg Hoffman, Mark Burg, Oren Koules","Betsy Russell, Mark Rolston, Peter Outerbridge"
,"Mission: Impossible – Rogue Nation","1.5E8","6.827E8",,"Christopher McQuarrie","Bryan Burk, David Ellison, Don Granger, J. J. Abrams, Tom Cruise","Alec Baldwin, Rebecca Ferguson, Sean Harris, Tom Cruise, Ving Rhames"
,"Fearless (2006 film)","9.0E7","6.81E7",,"Ronny Yu","Han Sanping, Jet Li, Ronny Yu, William Kong","Collin Chou, Dong Yong, Jet Li, Masato Harada, Nathan Jones, Shidō Nakamura II, Sun Li"
,"Frequency (2000 film)","3.1E7","6.81E7",,"Gregory Hoblit","Gregory Hoblit, Hawk Koch","Andre Braugher, Dennis Quaid, Elizabeth Mitchell, Jim Caviezel"
,"Frankie and Johnny (1991 film)","2.9E7","6.7E7",,"Garry Marshall","Garry Marshall","Al Pacino, Héctor Elizondo, Kate Nelligan, Michelle Pfeiffer, Nathan Lane"
,"Hero (1992 film)","4.2E7","6.7E7",,"Stephen Frears","Laura Ziskin","Andy García, Dustin Hoffman, Geena Davis"
,"The Giver (film)","2.5E7","6.7E7",,"Phillip Noyce","Jeff Bridges","Alexander Skarsgård, Brenton Thwaites, Cameron Monaghan, Emma Tremblay, Jeff Bridges, Katie Holmes, Meryl Streep, Odeya Rush, Taylor Swift"
,"The Messenger: The Story of Joan of Arc","6.0E7","6.7E7",,"Luc Besson","Patrice Ledoux","Dustin Hoffman, Faye Dunaway, John Malkovich, Milla Jovovich, Pascal Greggory, Richard Ridings, Tchéky Karyo, Timothy West, Vincent Cassel"
,"Legion (2010 film)","2.6E7","6.79E7",,"Scott Stewart","David Lancaster","Adrianne Palicki, Charles S. Dutton, Dennis Quaid, Jon Tenney, Kate Walsh, Kevin Durand, Paul Bettany, Tyrese Gibson, Willa Holland"
,"The American (2010 film)","2.0E7","6.79E7",,"Anton Corbijn","George Clooney, Grant Heslov","George Clooney, Paolo Bonacelli, Violante Placido"
,"All About My Mother",,"6.78E7",,"Pedro Almodóvar","Agustín Almodóvar","Antonia San Juan, Candela Peña, Cecilia Roth, Eloy Azorín, Fernando Fernán Gómez, Fernando Guillén, Marisa Paredes, Penélope Cruz, Rosa María Sardá, Toni Cantó"
,"Forrest Gump","5.5E7","6.782E8",,"Robert Zemeckis",", Wendy Finerman","Gary Sinise, Robin Wright, Sally Field, Tom Hanks"
,"Austin Powers: International Man of Mystery","1.65E7","6.77E7",1926-08-30,"Jay Roach","Demi Moore, Jennifer Todd, Mike Myers, Suzanne Todd","Elizabeth Hurley, Michael York, Mike Myers, Mimi Rogers"
,"Austin Powers","1.125E8","6.763E8",,"Jay Roach","Demi Moore, Jennifer Todd, Mike Myers, Suzanne Todd","Elizabeth Hurley, Heather Graham, Michael Caine, Michael York, Mike Myers, Mindy Sterling, Seth Green, Verne Troyer"
,"List of Austin Powers characters","1.125E8","6.763E8",,"Jay Roach","Demi Moore, Jennifer Todd, Mike Myers, Suzanne Todd","Elizabeth Hurley, Heather Graham, Michael Caine, Michael York, Mike Myers, Mindy Sterling, Seth Green, Verne Troyer"
,"The Next Three Days","3.0E7","6.74E7",,"Paul Haggis","Michael Nozik, Paul Haggis","Brian Dennehy, Elizabeth Banks, Liam Neeson, Olivia Wilde, Russell Crowe"
,"The Little Rascals (film)",,"6.73E7",,"Penelope Spheeris","Gerald R. Molen","Blake McIver Ewing, Brandon ""Bug"" Hall, Courtland Mead, Pete the Pup, Ross Bagley, Travis Tedford"
,"Star Trek: Nemesis","6.0E7","6.73E7",,"Stuart Baird","Rick Berman","Brent Spiner, Gates McFadden, Jonathan Frakes, LeVar Burton, Patrick Stewart, Tom Hardy"
,"Star Trek: Nemesis","6.0E7","6.73E7",,"Stuart Baird","Rick Berman","Marina Sirtis, Michael Dorn"
,"The Sixth Sense","4.0E7","6.728E8",,"M. Night Shyamalan","Kathleen Kennedy","Bruce Willis, Haley Joel Osment, Olivia Williams, Toni Collette"
,"When a Stranger Calls (2006 film)","1.5E7","6.71E7",,"Simon West","Wyck Godfrey","Brian Geraghty, Clark Gregg, Katie Cassidy"
,"Lust, Caution","1.5E7","6.71E7",,"Ang Lee","Ang Lee, James Schamus, William Kong","Anupam Kher, Joan Chen, Shyam Pathak, Tang Wei, Wang Leehom"
,"Coal Miner's Daughter (film)","1.5E7","6.718E7",,"Michael Apted","Bernard Schwartz","Levon Helm, Sissy Spacek, Tommy Lee Jones"
,"Scarface (1983 film)","23.5","6.6E7",,"Brian De Palma","Martin Bregman","Al Pacino"
,"The Visitors II: The Corridors of Time","2.3E7","6.6E7",,"Jean-Marie Poiré","Alain Terzian","Christian Clavier, Jean Reno, Marie-Anne Chazel, Muriel Robin"
,"Bad Company (2002 film)","7.0E7","6.6E7",,"Joel Schumacher","Jerry Bruckheimer","Chris Rock, Gabriel Macht"
,"Escape Room: Tournament of Champions","1.5E7","6.6E7",,"Adam Robitel","Neal H. Moritz","James Frain, Logan Miller, Taylor Russell"
"0105104","Passenger 57","1.5E7","6.6E7",,"Kevin Hooks","Lee Rich","Bruce Payne, Tom Sizemore, Wesley Snipes"
,"Man of Steel (film)","225.0","6.68E8",,"Zack Snyder","Charles Roven, Christopher Nolan, Deborah Snyder, Emma Thomas","Amy Adams, Antje Traue, Ayelet Zurer, Christopher Meloni, Diane Lane, Henry Cavill, Kevin Costner, Laurence Fishburne, Michael Shannon, Russell Crowe"
,"Selma (film)","2.0E7","6.68E7",,"Ava DuVernay","Dede Gardner, Jeremy Kleiner","Alessandro Nivola, Carmen Ejogo, Cuba Gooding Jr., David Oyelowo, Giovanni Ribisi, Tim Roth, Tom Wilkinson"
,"Moonfall (film)","138.0","6.68E7",,"Roland Emmerich","Harald Kloser, Roland Emmerich","Charlie Plummer, Donald Sutherland, Halle Berry, John Bradley, Kelly Yu, Michael Peña"
,"Dragnet (1987 film)","2.0E7","6.67E7",,"Tom Mankiewicz","David Permut","Alexandra Paul, Christopher Plummer, Dabney Coleman, Dan Aykroyd, Harry Morgan, Tom Hanks"
,"Side Effects (2013 film)","3.0E7","6.67E7",,"Steven Soderbergh","Gregory Jacobs, Lorenzo di Bonaventura, Scott Z. Burns","Catherine Zeta-Jones, Channing Tatum, Jude Law, Rooney Mara"
,"Empire of the Sun (film)","2.5E7","6.67E7",,"Steven Spielberg","Kathleen Kennedy, Steven Spielberg","Christian Bale, John Malkovich, Miranda Richardson, Nigel Havers"
,"Street Kings","2.0E7","6.65E7",,"David Ayer","Erwin Stoff","Chris Evans, Common, Forest Whitaker, Hugh Laurie, The  Game"
,"Not Another Teen Movie","1.5E7","6.65E7",,"Joel Gallen","Neal H. Moritz","Jaime Pressly, Mia Kirshner"
,"Mighty Morphin Power Rangers: The Movie","1.5E7","6.64E7",,"Bryan Spicer","Haim Saban, Shuki Levy, Suzanne Todd","Amy Jo Johnson, David Yost, Jason David Frank, Jason Narvy, Johnny Yong Bosch, Karan Ashley, Paul Freeman, Paul Schrier"
,"Mile 22","35.0","6.63E7",,"Peter Berg","Mark Wahlberg, Peter Berg","Iko Uwais, John Malkovich, Mark Wahlberg, Ronda Rousey"
,"Love, Simon","10.0","6.63E7",,"Greg Berlanti","Wyck Godfrey","Jennifer Garner, Nick Robinson"
,"The Bank Job","2.0E7","6.61E7",,"Roger Donaldson","Charles Roven","Jason Statham"
"0094612","Action Jackson (1988 film)","7000000.0","6.5E7",,"Craig R. Baxley","Joel Silver","Carl Weathers, Craig T. Nelson, Sharon Stone, Thomas F. Wilson, Vanity"
,"The Benchwarmers","3.3E7","6.5E7",,"Dennis Dugan","Adam Sandler","Craig Kilborn, David Spade, Jon Heder, Jon Lovitz, Molly Sims, Rob Schneider, Tim Meadows"
"0272152","K-PAX (film)","6.8E7","6.5E7",,"Iain Softley","Lawrence Gordon, Robert F. Colesberry Jr.","Alfre Woodard, Jeff Bridges, Kevin Spacey, Mary McCormack"
"0347618","The Cat Returns","2.0E7","6.5E7",,"Hiroyuki Morita","Toshio Suzuki","Aki Maeda, Chizuru Ikewaki, Tetsu Watanabe, Tetsurō Tamba, Yoshihiko Hakamada, 前田 亜季"
,"The Concorde ... Airport '79","1.4E7","6.5E7",,"David Lowell Rich","Jennings Lang","Alain Delon, Andrea Marcovicci, Bibi Andersson, Charo, Cicely Tyson, David Warner, Eddie Albert, George Kennedy, John Davidson, Martha Raye, Pierre Jalbert, Sylvia Kristel"
,"Song of the South","2125000.0","6.5E7",,"Wilfred Jackson","Walt Disney","Bobby Driscoll, Hattie McDaniel, James Baskett, Luana Patten, Lucile Watson, Ruth Warrick"
,"Flags of Our Fathers (film)","9.0E7","6.59E7",,"Clint Eastwood","Clint Eastwood, Steven Spielberg","Adam Beach, Jesse Bradford, Ryan Phillippe"
,"Life of the Party (2018 film)","3.0E7","6.59E7",,"Ben Falcone","Ben Falcone, Chris Henchy, Melissa McCarthy","Gillian Jacobs, Jacki Weaver, Julie Bowen, Matt Walsh, Maya Rudolph, Melissa McCarthy, Molly Gordon, Stephen Root"
,"28 Weeks Later","1.5E7","6.58E7",,"Juan Carlos Fresnadillo","Andrew Macdonald",", Catherine McCormack, Harold Perrineau, Idris Elba, Imogen Poots, Robert Carlyle, Rose Byrne"
,"Stuck on You (film)","5.5E7","6.58E7",,"Bobby Farrelly, Peter Farrelly","Bobby Farrelly, Peter Farrelly","Cher, Eva Mendes, Greg Kinnear, Matt Damon, Seymour Cassel"
,"In the Name of the Father (film)","1.3E7","6.58E7",,"Jim Sheridan","Jim Sheridan","Daniel Day-Lewis, Emma Thompson, Pete Postlethwaite"
,"Sweet November (2001 film)","4.0E7","6.58E7",,"Pat O'Connor","Elliott Kastner, Erwin Stoff, Steven Reuther","Charlize Theron, Jason Isaacs"
,"The Hunger Games: Mockingjay – Part 2","1.6E8","6.583E8",,"Francis Lawrence","Nina Jacobson","Donald Sutherland, Elizabeth Banks, Jeffrey Wright, Jennifer Lawrence, Josh Hutcherson, Julianne Moore, Liam Hemsworth, Philip Seymour Hoffman, Stanley Tucci, Woody Harrelson"
,"Begin Again (film)","8000000.0","6.57E7",,"John Carney","Judd Apatow","Catherine Keener, CeeLo Green, Hailee Steinfeld, James Corden, Keira Knightley, Mark Ruffalo"
,"The Age of Adaline","2.5E7","6.57E7",,"Lee Toland Krieger","Gary Lucchesi, Sidney Kimmel, Tom Rosenberg","Blake Lively, Ellen Burstyn, Harrison Ford, Kathy Baker, Michiel Huisman"
"0450232","16 Blocks","5.2E7","6.57E7",,"Richard Donner","Avi Lerner, Randall Emmett","Bruce Willis, Cylk Cozart"
,"Stakeout (1987 film)","1.45E7","6.57E7",,"John Badham","Jim Kouf","Emilio Estevez, Richard Dreyfuss"
,"K-19: The Widowmaker","9.0E7","6.57E7",,"Kathryn Bigelow","Kathryn Bigelow, Sigurjón Sighvatsson","Harrison Ford, Liam Neeson"
,"Justice League (film)","3.0E8","6.579E8",,"Zack Snyder","Charles Roven, Deborah Snyder","Amy Adams, Ben Affleck, Diane Lane, Gal Gadot, Henry Cavill, J. K. Simmons, Jason  Momoa, Jeremy Irons, Ray Fisher"
,"Matchstick Men","6.2E7","6.56E7",,"Ridley Scott","Jack Rapke, Ridley Scott, Ted Griffin","Alison Lohman, Bruce McGill"
"0102004","The Hard Way (1991 film)","2.4E7","6.56E7",,"John Badham","Rob Cohen","Annabella Sciorra, James Woods, Michael J. Fox, Penny Marshall, Stephen Lang"
,"Fantastic Beasts: The Crimes of Grindelwald","2.0E8","6.549E8",,"David Yates","J. K. Rowling, Lionel Wigram, Steve Kloves","Alison Sudol, Claudia Kim, Dan Fogler, Eddie Redmayne, Johnny Depp, Jude Law, Katherine Waterston, William Nadylam, Zoë Kravitz"
,"Pirates of the Caribbean: The Curse of the Black Pearl","1.4E8","6.543E8",,"Gore Verbinski","Jerry Bruckheimer","Johnny Depp, Jonathan Pryce, Keira Knightley, Orlando Bloom"
"0426931","August Rush","2.5E7","6.53E7",,"Kirsten Sheridan","Richard Barton Lewis","Freddie Highmore, Jonathan Rhys Meyers, Keri Russell, Terrence Howard"
,"Underdog (2007 film)","2.5E7","6.53E7",,"Frederik Du Chau","Gary Barber, Jonathan Glickman, Roger Birnbaum",""
"0082402","Fort Apache, The Bronx","1.0E7","6.52E7",,"Daniel Petrie","Martin Richards","Danny Aiello, Ed Asner, Kathleen Beller, Ken Wahl, Pam Grier, Paul Newman, Rachel Ticotin"
,"The Muppet Movie","8000000.0","6.52E7",,"James Frawley","Jim Henson","Austin Pendleton, Bob Hope, Carol Kane, Dave Goelz, Dom DeLuise, Edgar Bergen, Frank Oz, James Coburn, Jerry Nelson, Jim Henson, Madeline Kahn, Mel Brooks, Milton Berle, Orson Welles, Paul Williams, Richard Hunt, Richard Pryor, Steve Martin, Telly Savalas"
,"Zathura: A Space Adventure","6.5E7","6.51E7",,"Jon Favreau","Michael De Luca",", Dax Shepard, Jonah Bobo, Josh Hutcherson, Kristen Stewart"
"0045162","The Snows of Kilimanjaro (1952 film)","3000000.0","6.5",,"Henry King","Darryl F. Zanuck","Gregory Peck, Susan Hayward"
,"Talk to Her",,"6.48E7",,"Pedro Almodóvar","Agustín Almodóvar","Darío Grandinetti, Geraldine Chaplin, Javier Cámara, Rosario Flores"
,"God's Not Dead (film)","2000000.0","6.47E7",,"Harold Cronk","Russell Wolfe","David A. R. White, Kevin Sorbo, Newsboys, Shane Harper, Willie Robertson"
,"The Darkest Hour (film)","3.48E7","6.46E7",,"Chris Gorak","Timur Bekmambetov","Emile Hirsch, Max Minghella, Rachael Taylor"
,"Moana (2016 film)","150.0","6.45E8",,"John Musker, Ron Clements","Osnat Shurer","Alan Tudyk, Auliʻi Cravalho, Jemaine Clement, Nicole Scherzinger, Rachel House, Temuera Morrison"
,"L Storm","5.0","6.452E7",,"David Lam","Raymond Wong Pak-ming",""
,"Kiss of the Dragon","2.5E7","6.44E7",,"Chris Nahon","Jet Li, Luc Besson","Bridget Fonda, Burt Kwouk, Jet Li, Tchéky Karyo"
"0114576","Sudden Death (1995 film)","3.5E7","6.44E7",,"Peter Hyams","Moshe Diamant",", ""JCVD"", ""The Muscles from Brussels"", Dorian Harewood, Jean-Claude Van Damme"
,"Thor: The Dark World","150.0","6.448E8",,"Alan Taylor","Kevin Feige","Adewale Akinnuoye-Agbaje, Chris Hemsworth, Christopher Eccleston, Idris Elba, Jaimie Alexander, Kat Dennings, Natalie Portman, Ray Stevenson, Rene Russo, Stellan Skarsgård, Tadanobu Asano, Zachary Levi, 浅野 忠信"
,"The House of Magic","3.4E7","6.42E7",,"Ben Stassen","Ben Stassen","Doug Stone, Grant George, Joe Ochman, Joey Camen, Joey D'Auria, Kathleen Gati, Michael Sorich, Shanelle Workman"
,"Isle of Dogs (film)",,"6.42E7",,"Wes Anderson","Jeremy Dawson, Scott Rudin, Steven M. Rales, Wes Anderson","Akira Takayama, Bill Murray, Bryan Cranston, Edward Norton, F. Murray Abraham, Frances McDormand, Frank Wood, Greta Gerwig, Harvey Keitel, Jeff Goldblum, Ken Watanabe, Kunichi Nomura, Liev Schreiber, Mari Natsuki, Scarlett Johansson, Tilda Swinton, Yojiro Noda, Yoko Ono"
,"Monk Comes Down the Mountain",,"6.428E7",,"Chen Kaige","Chen Hong","Aaron Kwok, Chang Chen, Danny Chan, Fan Wei, Lam Suet, Lin Chi-ling, Wang Baoqiang, Wang Xueqi, Yuen Wah"
,"Star Trek V: The Final Frontier","3.3E7","6.3E7",,"William Shatner","Harve Bennett","DeForest Kelley, George Takei, James Doohan, Nichelle Nichols, Walter Koenig, William Shatner"
,"Just Cause (film)","2.7E7","6.3E7",,"Arne Glimcher","Arne Glimcher, Lee Rich","Blair Underwood, Ed Harris, Kate Capshaw, Laurence Fishburne, Ruby Dee"
,"The Longest Ride (film)","3.4E7","6.3E7",,"George Tillman Jr.","Nicholas Sparks, Sheena Easton, Wyck Godfrey","Alan Alda, Britt Robertson, Jack Huston, Oona Chaplin, Scott Eastwood"
,"Carlito's Way","3.0E7","6.3E7",,"Brian De Palma","Martin Bregman","Al Pacino, Penelope Ann Miller, Sean Penn"
"0257756","High Crimes","4.2E7","6.38E7",,"Carl Franklin","Arnon Milchan","Ashley Judd, Jim Caviezel, Morgan Freeman"
,"The Witches of Eastwick (film)","2.2E7","6.38E7",,"George Miller","Jon Peters, Neil Canton, Peter Guber","Cher, Jack Nicholson, Michelle Pfeiffer, Susan Sarandon, Veronica Cartwright"
,"In & Out (film)","3.5E7","6.3856929E7",,"Frank Oz","Scott Rudin","Bob Newhart, Debbie Reynolds, Kevin Kline, Matt Dillon, Shalom Harlow, Tom Selleck, Wilford Brimley"
,"Cop Land","1.5E7","6.37E7",,"James Mangold","Cary Woods, Cathy Konrad, Ezra Swerdlow","Annabella Sciorra, Harvey Keitel, Michael Rapaport, Peter Berg, Ray Liotta, Robert De Niro, Robert Patrick, Sylvester Stallone"
"0103241","What About Bob?","3.9E7","6.37E7",1991-05-17,"Frank Oz","Laura Ziskin","Bill Murray, Charlie Korsmo, Richard Dreyfuss"
,"Precious (film)","1.0E7","6.36E7",,"Lee Daniels","Lee Daniels, Tyler Perry","Gabourey Sidibe, Lenny Kravitz, Mo'Nique, Paula Patton"
,"Footloose (2011 film)","2.4E7","6.35E7",,"Craig Brewer","Craig Zadan, Neil Meron","Andie MacDowell, Dennis Quaid, Kenny Wormald"
,"The Fox and the Hound","1.2E7","6.35E7",,"Art Stevens, Richard Rich","Art Stevens, Ron W. Miller, Wolfgang Reitherman","Corey Feldman, Jack Albertson, John McIntire, Keith Coogan, Kurt Russell, Pat Buttram, Paul Winchell, Pearl Bailey, Richard Bakalyan, Sandy Duncan"
,"Conan the Barbarian (2011 film)","9.0E7","6.35E7",,"Marcus Nispel","Avi Lerner, Boaz Davidson","Bob Sapp, Jason  Momoa, Leo Howard, Rachel Nichols, Ron Perlman, Rose McGowan, Saïd Taghmaoui, Stephen Lang, The Beast"
,"Risky Business","6200000.0","6.35E7",,"Paul Brickman","Jon Avnet","Rebecca De Mornay, Tom Cruise"
,"Fantastic Four in film","2.3E8","6.35449065E8",,"Tim Story","Avi Arad, Bernd Eichinger, Ralph Winter",""
,"Colombiana","4.0E7","6.34E7",,"Olivier Megaton","Ariel Zeitoun, Luc Besson","Jordi Mollà, Lennie James, Zoe Saldaña"
,"Madea's Family Reunion","6000000.0","6.34E7",,"Tyler Perry","Tyler Perry","Blair Underwood, Boris Kodjoe, Cicely Tyson, Henry Simmons, Jenifer Lewis, Keke Palmer, Lisa Arrindell, Lynn Whitfield, Rochelle Aytes, Tangi Miller, Tyler Perry"
,"Sing (2016 American film)","7.5E7","6.342E8",,"Garth Jennings","Chris Meledandri, Janet Healy","John C. Reilly, Reese Witherspoon, Scarlett Johansson, Seth MacFarlane, Taron Egerton, Tori Kelly"
,"The Host (2013 film)","4.0E7","6.33E7",,"Andrew Niccol","Stephenie Meyer","Chandler Canterbury, Diane Kruger, Jake Abel, Max Irons, Saoirse Ronan"
"0891527","Lions for Lambs","3.5E7","6.32E7",,"Robert Redford","Andrew Hauptman, Matthew Michael Carnahan, Robert Redford","Andrew Garfield, Derek Luke, Meryl Streep, Michael Peña, Peter Berg, Robert Redford, Tom Cruise"
,"The Faculty","1.5E7","6.32E7",,"Robert Rodriguez","Elizabeth Avellán",", Bebe Neuwirth, Clea DuVall, Famke Janssen, Jon Stewart, Jordana Brewster, Josh Hartnett, Piper Laurie, Robert Patrick, Shawn Hatosy, Usher"
,"The Incredibles","92.0","6.316E8",,"Brad Bird","John Walker","Craig T. Nelson, Elizabeth Peña, Holly Hunter, Sarah Vowell, Spencer Fox"
,"The Martian (film)","1.08E8","6.306E8",,"Ridley Scott","Mark Huffam, Michael Schaefer, Ridley Scott, Simon Kinberg","Aksel Hennie, Chiwetel Ejiofor, Jeff Daniels, Jessica Chastain, Kristen Wiig, Matt Damon, Michael Peña, Sebastian Stan"
,"Elite Squad: The Enemy Within","9509.0","6.3027681E7",,"José Padilha","José Padilha","Irandhir Santos, Maria Ribeiro, Milhem Cortaz, Wagner Moura"
,"Elite Squad: The Enemy Within","1.6E7","6.3027681E7",,"José Padilha","José Padilha","Irandhir Santos, Maria Ribeiro, Milhem Cortaz, Wagner Moura"
,"Friday Night Lights (film)","3.0E7","6.2E7",,"Peter Berg","Brian Grazer","Billy Bob Thornton, Derek Luke, Garrett Hedlund, Jay Hernandez, Tim McGraw"
,"Snakes on a Plane","3.3E7","6.2E7",,"David R. Ellis","Don Granger","Bobby Cannavale, David Koechner, Elsa Pataky, Flex Alexander, Julianna Margulies, Kenan Thompson, Nathan Phillips, Sunny Mabrey, Todd Louiso"
,"Captain Corelli's Mandolin (film)","5.7E7","6.2E7",,"John Madden","Eric Fellner, Mark Huffam","Christian Bale, David Morrissey, Irene Papas, John Hurt, Penélope Cruz"
,"Unfriended","1000000.0","6.29E7",,"Levan Gabriadze","Timur Bekmambetov","Courtney Halverson, Jacob Wysocki, Moses Storm, Renee Olstead, Shelley Hennig, Will Peltz"
,"Hancock (film)","1.5E8","6.294E8",,"Peter Berg","Akiva Goldsman, Will Smith","Charlize Theron, Eddie Marsan, Jason Bateman, Will Smith"
,"The Nice Guys","5.0E7","6.28E7",,"Shane Black","Joel Silver","Angourie Rice, Kim Basinger, Margaret Qualley, Matt Bomer, Russell Crowe, Ryan Gosling"
"0228750","Proof of Life","6.5E7","6.28E7",,", Taylor Hackford",", Taylor Hackford","David Morse, Meg Ryan, Pamela Reed, Russell Crowe"
,"Runner Runner","3.0E7","6.27E7",,"Brad Furman","Arnon Milchan, Brian Koppelman, Leonardo DiCaprio, Michael Shamberg, Stacey Sher","Anthony Mackie, Ben Affleck, Gemma Arterton, Justin Timberlake"
,"How to Be a Latin Lover","10.0","6.26E7",,"Ken Marino","Benjamin Odell, Eugenio Derbez","Eugenio Derbez, Kristen Bell, Linda Lavin, Renée Taylor, Rob Corddry, Rob Lowe, Rob Riggle, Salma Hayek"
